City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ribeira grande,42.7461,-8.4439,17.25,94,75,1.54,ES,1627273915
mataura,-46.1927,168.8643,9.71,95,100,0.82,NZ,1627273916
soto la marina,-32.8107,-61.4026,10.62,69,0,3.98,AR,1627273916
san juan,13.3034,-4.8956,25.99,74,26,4.01,ML,1627273916
nyurba,63.2842,118.3319,31.67,29,2,3.37,RU,1627273917
ushuaia,-54.8,-68.3,1.81,80,40,7.2,AR,1627273714
bredasdorp,-34.5322,20.0403,12.62,47,100,4.12,ZA,1627273917
tilichiki,60.4667,166.1,13.22,91,99,3.24,RU,1627273850
hasaki,35.7333,140.8333,29.05,75,99,9.12,JP,1627273919
ingham,42.6,-84.3833,21.21,84,1,0.0,US,1627273919
cadillac,44.2519,-85.4012,16.62,94,1,0.0,US,1627273920
hermanus,-34.4187,19.2345,10.45,52,100,3.02,ZA,1627273812
albany,42.6001,-73.9662,20.71,95,0,1.65,US,1627273921
petropavlovsk-kamchatskiy,53.0452,158.6483,25.33,57,0,4.0,RU,1627273869
novyy urengoy,45.0072,38.9819,25.62,66,0,5.0,RU,1627273922
kupino,54.3663,77.2981,16.29,80,100,7.08,RU,1627273923
chokurdakh,70.6333,147.9167,13.89,39,58,4.57,RU,1627273923
hilo,19.7297,-155.09,23.85,91,90,0.0,US,1627273825
port elizabeth,-7.0349,29.7638,17.36,57,5,1.25,CD,1627273924
kapaa,22.0752,-159.319,28.99,82,20,1.34,US,1627273808
souillac,-20.5167,57.5167,21.21,73,40,5.14,MU,1627273814
punta arenas,8.9897,125.34,31.63,59,97,3.64,PH,1627273925
naze,28.3667,129.4833,28.51,93,100,7.39,JP,1627273925
provideniya,64.3833,-173.3,10.06,76,90,4.0,RU,1627273926
san rafael,13.3034,-4.8956,26.3,73,27,3.88,ML,1627273756
cape town,-36.413,-71.9028,7.68,94,100,1.37,CL,1627273926
victoria,22.2855,114.1577,33.3,78,65,2.68,HK,1627273921
faya,18.3851,42.4509,19.06,71,59,2.84,SA,1627273927
hamilton,39.1834,-84.5333,25.58,89,1,0.0,US,1627273817
coihaique,-45.5752,-72.0662,3.97,60,0,4.12,CL,1627273927
rikitea,-23.1203,-134.9692,22.18,74,36,3.88,PF,1627273808
busselton,-33.65,115.3333,20.02,73,0,11.68,AU,1627273711
kandrian,-6.2167,149.55,27.52,80,99,3.44,PG,1627273928
georgetown,5.4112,100.3354,32.16,72,20,1.54,MY,1627273670
guanica,17.9716,-66.908,27.19,85,100,0.45,PR,1627273929
hithadhoo,-0.6,73.0833,27.62,73,100,2.2,MV,1627273856
cap malheureux,49.2718,-1.2104,16.79,97,73,2.74,FR,1627273929
jamestown,42.097,-79.2353,20.8,90,1,0.45,US,1627273930
kodiak,57.79,-152.4072,12.73,76,90,4.63,US,1627273930
balatonfoldvar,46.8526,17.8812,23.31,71,73,1.26,HU,1627273931
mahebourg,-20.4081,57.7,21.16,73,40,5.14,MU,1627273931
kavaratti,10.5669,72.642,27.5,79,100,9.02,IN,1627273711
aksarka,66.5606,67.7975,12.25,65,96,4.49,RU,1627273792
abnub,27.2696,31.1511,25.12,54,0,3.26,EG,1627273932
hobart,-42.8794,147.3294,13.92,69,40,1.34,AU,1627273805
dingle,10.9995,122.6711,31.75,60,98,7.46,PH,1627273932
yumen,40.2833,97.2,32.31,14,5,6.87,CN,1627273933
adrar,20.5022,-10.0711,28.94,35,0,4.47,MR,1627273933
thompson,55.7435,-97.8558,8.09,76,40,1.54,CA,1627273694
cayenne,4.9333,-52.3333,24.49,91,90,0.0,GF,1627273934
saskylakh,71.9167,114.0833,16.46,54,96,6.61,RU,1627273934
buenos aires,33.2993,-101.4876,28.06,50,100,0.45,US,1627273934
bakchar,57.0186,82.0711,26.53,60,96,1.91,RU,1627273935
marsh harbour,53.6512,-1.8078,15.98,87,28,1.52,GB,1627273935
davidson,36.1501,-86.7833,25.67,85,20,1.79,US,1627273789
butaritari,3.0707,172.7902,25.93,86,100,6.05,KI,1627273936
puerto escondido,36.5939,-6.233,21.81,84,0,3.09,ES,1627273936
cidreira,-30.1811,-50.2056,19.93,70,93,1.92,BR,1627273857
ilorin,8.5,4.55,22.2,94,20,4.12,NG,1627273937
aripuana,-9.1667,-60.6333,23.38,56,7,0.64,BR,1627273942
tuktoyaktuk,69.4541,-133.0374,9.0,81,90,3.6,CA,1627273842
jizan,17.3333,42.6667,28.52,75,64,4.39,SA,1627273793
morros,-9.4467,-46.3003,18.42,71,19,1.66,BR,1627273943
galesong,-5.3166,119.3661,31.01,54,15,2.36,ID,1627273944
zhezkazgan,47.8043,67.7144,27.08,26,0,8.25,KZ,1627273944
tasiilaq,65.6145,-37.6368,5.09,83,22,1.29,GL,1627273944
bac lieu,45.3919,19.2367,21.84,60,94,2.42,RS,1627273679
tual,-5.6667,132.75,26.68,78,74,9.23,ID,1627273945
englewood,39.6478,-104.9878,23.23,59,75,4.12,US,1627273946
ryotsu,38.0833,138.4333,30.98,69,24,3.35,JP,1627273946
gisborne,-38.6533,178.0042,13.86,90,100,7.87,NZ,1627273738
puerto ayora,36.5939,-6.233,21.81,84,0,3.09,ES,1627273947
warri,5.5167,5.75,21.51,88,80,1.27,NG,1627273947
yellowknife,62.456,-114.3525,13.29,58,75,0.45,CA,1627273836
kaitangata,-46.2817,169.8464,8.53,94,100,1.25,NZ,1627273948
byron bay,44.0327,-92.6455,22.63,77,1,0.0,US,1627273948
san vicente de canete,13.3034,-4.8956,26.3,73,27,3.88,ML,1627273756
bathsheba,13.2167,-59.5167,25.34,94,40,3.09,BB,1627273949
ascension,30.2169,-90.9001,28.0,89,1,0.0,US,1627273713
gogrial,8.5332,28.1004,21.08,98,100,1.79,SS,1627273949
san patricio,13.3034,-4.8956,25.99,74,26,4.01,ML,1627273950
santiago del estero,-33.4569,-70.6483,11.59,74,40,3.09,CL,1627273699
faanui,-16.4833,-151.75,25.62,70,57,4.52,PF,1627273951
formoso do araguaia,-14.9467,-46.2319,13.55,57,3,2.04,BR,1627273951
rawson,-43.3002,-65.1023,5.82,48,31,8.69,AR,1627273849
